id,name,state,postcode,lat,lng,area,region
200,Ambleside,TAS,7310,-41.206124,146.372948,Burnie Devonport & NW Tas,Tasmania
201,Ambrose,QLD,4695,-23.785682,150.926796,Gladstone Rockhampton & Capricornia,Coastal QLD
202,Amby,QLD,4462,-26.549209,148.186897,South,Central & West QLD
203,Amelup,WA,6338,-34.238467,118.220878,South,Southern WA
204,American Beach,SA,5222,-35.776943,137.876499,Kangaroo Island,Southern SA
205,American River,SA,5221,-35.773049,137.779956,Kangaroo Island,Southern SA
206,Amherst,VIC,3371,-37.146466,143.670166,Ballarat & Western District,South West VIC
207,Amiens,QLD,4380,-28.583622,151.801093,South,Central & West QLD
208,Amity Point,QLD,4183,-27.396485,153.44014,Redlands City,Brisbane
209,Amity,QLD,4183,-27.400527,153.458107,Redlands City,Brisbane
210,Amoonguna,NT,872,-23.759608,133.935102,Alice Springs,Northern Territory
211,Amor,VIC,3825,-37.941242,146.399804,Gippsland,South East VIC
212,Amphitheatre,VIC,3468,-37.182344,143.399915,Ballarat & Western District,South West VIC
213,Ampilatwatja,NT,872,-21.652883,135.224527,Alice Springs,Northern Territory
214,Amyton,SA,5431,-32.603434,138.327394,Far North,Far North SA
215,Anabranch,NSW,2648,-33.544872,141.730139,Murray Region,Regional NSW
216,Anakie,QLD,4702,-23.552112,147.74699,Central,Central & West QLD
217,Anakie,VIC,3221,-37.896843,144.253862,Geelong & District,Melbourne
218,Anama,SA,5464,-33.688975,138.566931,Mid North,Mid North SA
219,Anambah,NSW,2320,-32.676068,151.495133,Hunter Valley - Lower,"Hunter, Central & Northern NSW"
220,Anatye,NT,872,-23.379438,136.495409,Alice Springs,Northern Territory
221,Ancona,VIC,3715,-36.972266,145.790539,Shepparton & Central North,Northern VIC
222,Andamooka,SA,5722,-30.765236,137.073927,Far North,Far North SA
223,Andergrove,QLD,4740,-21.096937,149.185333,Mackay & Whitsundays,Coastal QLD
224,Anderleigh,QLD,4570,-25.998421,152.673583,Sunshine Coast,South East QLD
225,Anderson,VIC,3995,-38.523328,145.448265,Phillip Island & District,Melbourne
226,Ando,NSW,2631,-36.739931,149.261211,Capital Monaro & Snowy,Regional NSW
227,Andover,TAS,7120,-42.329996,147.460643,Hobart & Southern,Tasmania
228,Andrews Farm,SA,5114,-34.671461,138.666778,North & North East Suburbs,Adelaide
229,Andrews,SA,5454,-33.598997,138.631237,Mid North,Mid North SA
230,Andromache,QLD,4800,-20.584521,148.420002,Mackay & Whitsundays,Coastal QLD
231,Anduramba,QLD,4355,-27.134613,152.085883,Toowoomba & District,South East QLD
232,Anembo,NSW,2621,-35.805448,149.42833,Capital Monaro & Snowy,Regional NSW
233,Angas Plains,SA,5255,-35.334362,138.970256,Fleurieu Peninsula,Southern SA
234,Angas Valley,SA,5238,-34.755133,139.306156,Murraylands,Southern SA
235,Angaston,SA,5353,-34.501149,139.046829,Barossa Valley,Mid North SA
236,Angelo River,WA,6642,-24.078602,118.010422,North,Northern WA
237,Angle Park,SA,5010,-34.859133,138.560673,Western & Beachside Suburbs,Adelaide
238,Angle Vale,SA,5117,-34.640772,138.646604,North & North East Suburbs,Adelaide
239,Angledale,NSW,2550,-36.63575,149.857154,Far South Coast,South Coast NSW
240,Angledool,NSW,2832,-29.113122,147.902562,Dubbo & Orana,Regional NSW
241,Anglers Reach,NSW,2629,-35.999196,148.664848,Capital Monaro & Snowy,Regional NSW
242,Anglers Rest,VIC,3898,-37.019424,147.470662,North Eastern,Northern VIC
243,Anglesea,VIC,3230,-38.405129,144.189268,Great Ocean Rd / Otway Ranges,South West VIC
244,Angourie,NSW,2464,-29.481012,153.359964,Northern Rivers,"Hunter, Central & Northern NSW"
245,Anketell,WA,6167,-32.227693,115.870492,Southern Suburbs,Perth
246,Anmatjere,NT,872,-22.008275,133.464652,Alice Springs,Northern Territory
247,Anna Bay,NSW,2316,-32.776919,152.083274,Port Stephens,"Hunter, Central & Northern NSW"
248,Annadale,SA,5356,-34.389315,139.388418,Barossa Valley,Mid North SA
249,Annandale,NSW,2038,-33.881435,151.170681,Inner West,Sydney
250,Annandale,QLD,4814,-19.309637,146.786974,Townsville & District,Coastal QLD
251,Annangrove,NSW,2156,-33.657772,150.943505,Hills,Sydney
252,Annerley,QLD,4103,-27.511609,153.031832,Inner South,Brisbane
253,Anniebrook,WA,6280,-33.665287,115.164999,Busselton-Dunsborough & Surrounds,Southern WA
254,Annuello,VIC,3549,-34.847699,142.830117,North Western,Northern VIC
255,Ansons Bay,TAS,7216,-41.037887,148.26834,East Coast,Tasmania
256,Anstead,QLD,4070,-27.545591,152.87227,West,Brisbane
257,Antechamber Bay,SA,5222,-35.801741,138.072715,Kangaroo Island,Southern SA
258,Antewenegerrde,NT,872,58.4532715,14.8974003,Alice Springs,Northern Territory
259,Anthony,QLD,4310,-27.878177,152.684078,Ipswich & West Moreton,South East QLD
260,Antigua,QLD,4650,-25.638213,152.602531,Bundaberg & Wide Bay,Coastal QLD
261,Antill Ponds,TAS,7120,-42.204006,147.401352,Hobart & Southern,Tasmania
262,Antonymyre,WA,6714,-20.663163,117.093371,North,Northern WA
263,Antwerp,VIC,3414,-36.298418,142.024557,North Western,Northern VIC
264,Anula,NT,812,-12.39191,130.89015,Darwin Area,Northern Territory
265,Apamurra,SA,5237,-34.855242,139.19677,Murraylands,Southern SA
266,Apoinga,SA,5413,-33.928076,138.937581,Mid North,Mid North SA
267,Apollo Bay,TAS,7150,-43.15912,147.296093,Hobart & Southern,Tasmania
268,Apollo Bay,VIC,3233,-38.748434,143.670432,Great Ocean Rd / Otway Ranges,South West VIC
269,Appila,SA,5480,-33.050537,138.42808,Mid North,Mid North SA
270,Appin Park,VIC,3677,-36.5587997,145.4689942,Gippsland,South East VIC
271,Appin South,VIC,3579,-35.940964,143.859905,North Western,Northern VIC
272,Appin,NSW,2560,-34.200891,150.787479,Southern Highlands,South Coast NSW
273,Appin,VIC,3579,-35.878433,143.872782,North Western,Northern VIC
274,Apple Tree Creek,QLD,4660,-25.21521,152.233998,Bundaberg & Wide Bay,Coastal QLD
275,Apple Tree Flat,NSW,2850,-32.685217,149.705047,Dubbo & Orana,Regional NSW
276,Appleby,NSW,2340,-30.964928,150.825148,New England - North West,Regional NSW
277,Applecross North,WA,6153,-32.0194,115.833223,Southern Suburbs,Perth
278,Applecross,WA,6153,-32.0194,115.833223,Southern Suburbs,Perth
279,Applethorpe,QLD,4378,-28.613948,151.955491,South,Central & West QLD
280,Appletree Flat,NSW,2330,-32.512305,150.864848,Hunter Valley - Upper,"Hunter, Central & Northern NSW"
